arquivo;algoritmo;estrutura;execucao;tempo_ms
sample100-5940.gr;KRUSKAL;LISTA;11;3,7279
sample100-5940.gr;KRUSKAL;MATRIZ;1;3,9083
sample100-5940.gr;KRUSKAL;MATRIZ;2;2,9776
sample100-5940.gr;KRUSKAL;MATRIZ;3;3,7533
sample100-5940.gr;KRUSKAL;MATRIZ;4;4,0908
sample100-5940.gr;KRUSKAL;MATRIZ;5;3,9037
sample100-5940.gr;KRUSKAL;MATRIZ;6;3,6790
sample100-5940.gr;KRUSKAL;MATRIZ;7;3,7994
sample100-5940.gr;KRUSKAL;MATRIZ;8;3,6049
sample100-5940.gr;KRUSKAL;MATRIZ;9;3,7082
sample100-5940.gr;KRUSKAL;MATRIZ;10;3,6008
sample100-5940.gr;KRUSKAL;MATRIZ;11;3,5906
sample100-5940.gr;PRIM;LISTA;1;4,5191
sample100-5940.gr;PRIM;LISTA;2;4,4718
sample100-5940.gr;PRIM;LISTA;3;4,3333
sample100-5940.gr;PRIM;LISTA;4;4,2433
sample100-5940.gr;PRIM;LISTA;5;4,4373
sample100-5940.gr;PRIM;LISTA;6;4,4546
sample100-5940.gr;PRIM;LISTA;7;4,3302
sample100-5940.gr;PRIM;LISTA;8;4,6421
sample100-5940.gr;PRIM;LISTA;9;4,7755
sample100-5940.gr;PRIM;LISTA;10;4,4275
sample100-5940.gr;PRIM;LISTA;11;4,3971
sample100-5940.gr;PRIM;MATRIZ;1;4,2962
sample100-5940.gr;PRIM;MATRIZ;2;4,4130
sample100-5940.gr;PRIM;MATRIZ;3;4,4631
sample100-5940.gr;PRIM;MATRIZ;4;4,4208
sample100-5940.gr;PRIM;MATRIZ;5;4,4726
sample100-5940.gr;PRIM;MATRIZ;6;4,5848
sample100-5940.gr;PRIM;MATRIZ;7;4,1643
sample100-5940.gr;PRIM;MATRIZ;8;4,0882
sample100-5940.gr;PRIM;MATRIZ;9;4,3391
sample100-5940.gr;PRIM;MATRIZ;10;4,3410
sample100-5940.gr;PRIM;MATRIZ;11;4,3535
sample100-5940.gr;DIJKSTRA;LISTA;1;2,8405
sample100-5940.gr;DIJKSTRA;LISTA;2;2,6452
sample100-5940.gr;DIJKSTRA;LISTA;3;2,5968
sample100-5940.gr;DIJKSTRA;LISTA;4;2,5820
sample100-5940.gr;DIJKSTRA;LISTA;5;2,5434
